Date,Name,Year,Letterboxd URI,Rating,Review,image,poster
2025-03-09,Up,2009,https://boxd.it/1OEc,3.5,,https://image.tmdb.org/t/p/w1280/hGGC9gKo7CFE3fW07RA587e5kol.jpg,https://image.tmdb.org/t/p/w500/mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg
2025-03-09,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,3,,https://image.tmdb.org/t/p/w1280/mXLVA0YL6tcXi6SJSuAh9ONXFj5.jpg,https://image.tmdb.org/t/p/w500/an0nD6uq6byfxXCfk6lQBzdL2J1.jpg
2025-03-09,Seven Samurai,1954,https://boxd.it/2axi,4,,https://image.tmdb.org/t/p/w1280/qvZ91FwMq6O47VViAr8vZNQz3WI.jpg,https://image.tmdb.org/t/p/w500/lOMGc8bnSwQhS4XyE1S99uH8NXf.jpg
2025-03-09,Interstellar,2014,https://boxd.it/4VZ8,3.5,,https://image.tmdb.org/t/p/w1280/5XNQBqnBwPA9yT0jZ0p3s8bbLh0.jpg,https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
2025-03-09,La Haine,1995,https://boxd.it/2as8,4,,https://image.tmdb.org/t/p/w1280/k61xLJgPo7ScxHLLiBzTM9IDaB7.jpg,https://image.tmdb.org/t/p/w500/8rgPyWjYZhsphSSxbXguMnhN7H0.jpg
2025-03-09,Amélie,2001,https://boxd.it/2aUc,3.5,,https://image.tmdb.org/t/p/w1280/6n53UI4mX9QMfe2S0Pgt8mGebY1.jpg,https://image.tmdb.org/t/p/w500/nSxDa3M9aMvGVLoItzWTepQ5h5d.jpg
2025-03-09,Life Is Beautiful,1997,https://boxd.it/29Wm,4,,https://image.tmdb.org/t/p/w1280/6aNKD81RHR1DqUUa8kOZ1TBY1Lp.jpg,https://image.tmdb.org/t/p/w500/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg
2025-03-09,In the Mood for Love,2000,https://boxd.it/29tE,4,,https://image.tmdb.org/t/p/w1280/ffQFnAUm2Uu4RU0nijpjPRf9TBT.jpg,https://image.tmdb.org/t/p/w500/m8jNwTP13ubYZyh5siVuyT9pZDp.jpg
2025-03-09,Alien,1979,https://boxd.it/2awY,3.5,,https://image.tmdb.org/t/p/w1280/cEobq5QrnOJjO6giDs8q4RxmMKh.jpg,https://image.tmdb.org/t/p/w500/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg
2025-03-09,Vertigo,1958,https://boxd.it/2apI,4,,https://image.tmdb.org/t/p/w1280/rtVwkTqllcmyY4TVOycgVBHppWf.jpg,https://image.tmdb.org/t/p/w500/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg
